Date,Home_Team,Away_Team,Venue,City,Home_Score,Away_Score,Stage
11-Jun,Mexico,South Africa,Mexico City Stadium,Mexico City,2,0,Group
11-Jun,South Korea,Czech Republic,Estadio Guadalajara,Guadalajara,0,0,Group
12-Jun,Canada,Bosnia and Herzegovina,Toronto Stadium,Toronto,0,0,Group
12-Jun,USA,Paraguay,Los Angeles Stadium,Los Angeles,0,0,Group
13-Jun,Qatar,Switzerland,San Francisco Bay Area Stadium,San Francisco Bay Area,0,0,Group
13-Jun,Brazil,Morocco,New York New Jersey Stadium,New York/NJ,2,0,Group
13-Jun,Haiti,Scotland,Boston Stadium,Boston,0,0,Group
13-Jun,Australia,T�rkiye,BC Place Vancouver,Vancouver,1,1,Group
14-Jun,Germany,Cura�ao,Houston Stadium,Houston,0,0,Group
14-Jun,Netherlands,Japan,Dallas Stadium,Dallas,0,0,Group
14-Jun,Ivory Coast,Ecuador,Philadelphia Stadium,Philadelphia,0,0,Group
14-Jun,Sweden,Tunisia,Estadio Monterrey,Monterrey,0,0,Group
15-Jun,Spain,Cape Verde,Atlanta Stadium,Atlanta,0,0,Group
15-Jun,Belgium,Egypt,Seattle Stadium,Seattle,0,0,Group
15-Jun,Saudi Arabia,Uruguay,Miami Stadium,Miami,0,0,Group
15-Jun,Iran,New Zealand,Los Angeles Stadium,Los Angeles,2,0,Group
16-Jun,France,Senegal,New York New Jersey Stadium,New York/NJ,0,0,Group
16-Jun,Iraq,Norway,Boston Stadium,Boston,0,0,Group
16-Jun,Argentina,Algeria,Kansas City Stadium,Kansas City,2,0,Group
16-Jun,Austria,Jordan,San Francisco Bay Area Stadium,San Francisco Bay Area,0,0,Group
17-Jun,Portugal,DR Congo,Houston Stadium,Houston,0,0,Group
17-Jun,England,Croatia,Dallas Stadium,Dallas,0,0,Group
17-Jun,Ghana,Panama,Toronto Stadium,Toronto,0,0,Group
17-Jun,Uzbekistan,Colombia,Mexico City Stadium,Mexico City,0,0,Group
18-Jun,Czech Republic,South Africa,Atlanta Stadium,Atlanta,2,0,Group
18-Jun,Switzerland,Bosnia and Herzegovina,Los Angeles Stadium,Los Angeles,0,0,Group
18-Jun,Canada,Qatar,BC Place Vancouver,Vancouver,0,0,Group
18-Jun,Mexico,South Korea,Estadio Guadalajara,Guadalajara,0,0,Group
19-Jun,USA,Australia,Seattle Stadium,Seattle,0,0,Group
19-Jun,Scotland,Morocco,Boston Stadium,Boston,0,0,Group
19-Jun,Brazil,Haiti,Philadelphia Stadium,Philadelphia,0,0,Group
19-Jun,T�rkiye,Paraguay,San Francisco Bay Area Stadium,San Francisco Bay Area,0,0,Group
20-Jun,Netherlands,Sweden,Houston Stadium,Houston,0,0,Group
20-Jun,Germany,Ivory Coast,Toronto Stadium,Toronto,0,0,Group
20-Jun,Ecuador,Cura�ao,Kansas City Stadium,Kansas City,0,0,Group
20-Jun,Tunisia,Japan,Estadio Monterrey,Monterrey,0,0,Group
21-Jun,Spain,Saudi Arabia,Atlanta Stadium,Atlanta,0,0,Group
21-Jun,Belgium,Iran,Los Angeles Stadium,Los Angeles,0,2,Group
21-Jun,Uruguay,Cape Verde,Miami Stadium,Miami,0,0,Group
21-Jun,New Zealand,Egypt,BC Place Vancouver,Vancouver,0,0,Group
22-Jun,Norway,Senegal,New York New Jersey Stadium,New York/NJ,0,0,Group
22-Jun,France,Iraq,Philadelphia Stadium,Philadelphia,0,0,Group
22-Jun,Argentina,Austria,Dallas Stadium,Dallas,0,0,Group
22-Jun,Jordan,Algeria,San Francisco Bay Area Stadium,San Francisco Bay Area,0,0,Group
23-Jun,England,Ghana,Boston Stadium,Boston,0,0,Group
23-Jun,Panama,Croatia,Toronto Stadium,Toronto,0,0,Group
23-Jun,Portugal,Uzbekistan,Houston Stadium,Houston,0,0,Group
23-Jun,Colombia,DR Congo,Estadio Guadalajara,Guadalajara,0,0,Group
24-Jun,Scotland,Brazil,Miami Stadium,Miami,0,0,Group
24-Jun,Morocco,Haiti,Atlanta Stadium,Atlanta,0,0,Group
24-Jun,Switzerland,Canada,BC Place Vancouver,Vancouver,0,0,Group
24-Jun,Bosnia and Herzegovina,Qatar,Seattle Stadium,Seattle,0,0,Group
24-Jun,Czech Republic,Mexico,Mexico City Stadium,Mexico City,0,0,Group
24-Jun,South Africa,South Korea,Estadio Monterrey,Monterrey,0,0,Group
25-Jun,Cura�ao,Ivory Coast,Philadelphia Stadium,Philadelphia,0,0,Group
25-Jun,Ecuador,Germany,New York New Jersey Stadium,New York/NJ,0,0,Group
25-Jun,Japan,Sweden,Dallas Stadium,Dallas,0,0,Group
25-Jun,Tunisia,Netherlands,Kansas City Stadium,Kansas City,0,0,Group
